accession	description	tax_id	first_public	scientific_name	base_count
AF006567	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	7234	1997-09-11	Drosophila persimilis	3502
U65746	Drosophila buzzatii alcohol dehydrogenase (Adh-P) pseudogene, and alcohol dehydrogenase 2 (Adh-2) and alcohol dehydrogenase 1 (Adh-1) genes, complete cds.	7264	1996-10-21	Drosophila buzzatii	8725
X00607	Drosophila simulans gene for alcohol dehydrogenase	7240	1985-06-13	Drosophila simulans	4607
M37276	Drosophila mojavensis alcohol dehydrogenase-2 (Adh-2) and alcohol dehydrogenase-1 (Adh-1) genes, complete cds.	7230	1990-09-13	Drosophila mojavensis	8783
AY279325	Drosophila orena alcohol dehydrogenase (Adh) gene, partial cds and alcohol dehydrogenase related (Adhr) gene, complete cds.	7233	2004-03-31	Drosophila orena	1724
KU559568	Drosophila virilis strain 15010-1051.0 alcohol dehydrogenase (Adh1) and alcohol dehydrogenase (Adh2) genes, complete cds.	7244	2016-05-31	Drosophila virilis	14750
M63291	Drosophila silvestris alcohol dehydrogenase gene, complete cds.	47010	1991-04-04	Drosophila silvestris	1635
X62193	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3483
X62220	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3479
AY040854	Drosophila melanogaster alcohol dehydrogenase gene silencer sequence.	7227	2001-08-19	Drosophila melanogaster	1180
JF735882	Drosophila nigromelanica alcohol dehydrogenase gene, partial cds.	499227	2011-10-24	Drosophila nigromelanica	626
X62214	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3486
X62228	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3464
M60791	Drosophila adiastola alcohol dehydrogenase gene, complete cds.	7261	1992-06-06	Drosophila adiastola	912
X62206	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3499
X64480	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3470
X62204	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3499
X62195	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3499
X62199	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3475
X62226	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3466
X64486	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3475
AY238778	Drosophila miranda strain SP235 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229	2003-04-08	Drosophila miranda	2042
AY238777	Drosophila miranda strain SP138 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.	7229	2003-04-08	Drosophila miranda	2042
AY081440	Drosophila tripunctata alcohol dehydrogenase (Adh) gene, partial cds.	141217	2002-08-09	Drosophila tripunctata	217
AY750123	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	7252	2005-12-31	Drosophila melanica	911
AY750132	Drosophila euronotus alcohol dehydrogenase (Adh) gene, partial cds.	55945	2005-12-31	Drosophila euronotus	911
AY750144	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.	311480	2005-12-31	Drosophila medioconstricta	911
DQ471630	Drosophila barutani alcohol dehydrogenase (Adh) gene, partial cds.	381452	2006-07-20	Drosophila barutani	711
HQ631470	Drosophila bipectinata alcohol dehydrogenase (adh) gene, partial cds.	42026	2011-08-30	Drosophila bipectinata	290
AF264077	Drosophila nebulosa alcohol dehydrogenase (Adh) gene, partial cds.	7271	2000-05-30	Drosophila nebulosa	405
AY006411	Drosophila picticornis alcohol dehydrogenase (Adh) gene, partial cds.	7235	2001-09-04	Drosophila picticornis	510
AY750118	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.	311474	2005-12-31	Drosophila longiserrata	911
DQ471667	Drosophila repleta alcohol dehydrogenase (Adh) gene, partial cds.	30043	2006-07-20	Drosophila repleta	711
HQ631471	Drosophila bocki alcohol dehydrogenase (adh) gene, partial cds.	103765	2011-08-30	Drosophila bocki	290
HQ631473	Drosophila curveadeagus alcohol dehydrogenase (adh) gene, partial cds.	2609304	2011-08-30	Drosophila curveaedeagus (nomen nudum)	290
HQ631484	Drosophila pulchrella alcohol dehydrogenase (adh) gene, partial cds.	187394	2011-08-30	Drosophila pulchrella	290
U26839	Drosophila borealis alcohol dehydrogenase (Adh) gene, complete cds.	40368	1995-06-30	Drosophila borealis	961
AF059889	Drosophila melanica alcohol dehydrogenase (Adh) gene, partial cds.	7252	1998-04-28	Drosophila melanica	290
AY006409	Drosophila adunca alcohol dehydrogenase (Adh) gene, partial cds.	46893	2001-09-04	Drosophila adunca	508
AY006413	Drosophila nigribasis alcohol dehydrogenase (Adh) gene, partial cds.	46820	2001-09-04	Drosophila nigribasis	510
AY750116	Drosophila lacertosa alcohol dehydrogenase (Adh) gene, partial cds.	119604	2005-12-31	Drosophila lacertosa	911
AY750127	Drosophila paramelanica alcohol dehydrogenase (Adh) gene, partial cds.	311477	2005-12-31	Drosophila paramelanica	911
AY750130	Drosophila neokadai alcohol dehydrogenase (Adh) gene, partial cds.	311476	2005-12-31	Drosophila neokadai	911
AY750136	Drosophila okadai alcohol dehydrogenase (Adh) gene, partial cds.	311481	2005-12-31	Drosophila okadai	911
DQ471655	Drosophila americana alcohol dehydrogenase (Adh) gene, partial cds.	40366	2006-07-20	Drosophila americana	711
U94203	Drosophila petalopeza alcohol dehydrogenase (Adh) gene, partial cds.	58309	1998-02-23	Drosophila petalopeza	204
AY006417	Drosophila neoperkinsi alcohol dehydrogenase (Adh) gene, partial cds.	48320	2001-09-04	Drosophila neoperkinsi	510
AY750139	Drosophila sordidula alcohol dehydrogenase (Adh) gene, partial cds.	55950	2005-12-31	Drosophila sordidula	911
DQ471659	Drosophila eohydei alcohol dehydrogenase (Adh) gene, partial cds.	54075	2006-07-20	Drosophila eohydei	711
DQ471661	Drosophila kanekoi alcohol dehydrogenase (Adh) gene, partial cds.	50033	2006-07-20	Drosophila kanekoi	711
GQ376034	Drosophila pseudoananassae alcohol dehydrogenase (ADH) gene, partial cds.	65964	2009-08-02	Drosophila pseudoananassae	410
GQ376035	Drosophila bipectinata alcohol dehydrogenase (ADH) gene, partial cds.	42026	2009-08-02	Drosophila bipectinata	410
U90956	Drosophila tristis alcohol dehydrogenase (Adh) gene, partial cds.	7284	1997-11-14	Drosophila tristis	428
X68165	Drosophila pseudoobscura Adh gene for alcohol dehydrogenase (PS314)	7237	1992-10-08	Drosophila pseudoobscura	3460
Z00032	Drosophila orena alcohol dehydrogenase gene and flanking regions	7233	1986-07-02	Drosophila orena	2617
AB261136	Drosophila pallidifrons Adh gene for alcohol dehydrogenase, partial cds.	88884	2007-11-03	Drosophila pallidifrons	861
AB932648	Drosophila bizonata Adh gene for alcohol dehydrogenase, partial cds.	188282	2015-01-14	Drosophila bizonata	844
AB932646	Drosophila angularis Adh gene for alcohol dehydrogenase, partial cds.	309934	2014-10-26	Drosophila angularis	840
AB932662	Drosophila multispina Adh gene for alcohol dehydrogenase, partial cds.	1503162	2014-10-26	Drosophila multispina	852
AF260692	Drosophila montana alcohol dehydrogenase-related protein gene, partial cds.	40370	2000-09-20	Drosophila montana	456
KM016471	Drosophila simulans isolate KY32 alcohol dehydrogenase-related gene, intron.	7240	2014-09-24	Drosophila simulans	479
U26842	Drosophila montana alcohol dehydrogenase (Adh-1) gene, complete cds.	40370	1995-06-22	Drosophila montana	957
X60793	D.melanogaster (strain NC16) Adh gene for alcohol dehydrogenase	7227	1991-10-07	Drosophila melanogaster	2763
AB033644	Drosophila brachynephros Adh mRNA for alcohol dehydrogenase, partial cds.	106246	1999-11-16	Drosophila brachynephros	711
AB261135	Drosophila siamana Adh gene for alcohol dehydrogenase, partial cds.	157059	2007-11-03	Drosophila siamana	855
AB932664	Drosophila nigromaculata Adh gene for alcohol dehydrogenase, partial cds.	198721	2015-01-14	Drosophila nigromaculata	849
AB932678	Drosophila transversa Adh gene for alcohol dehydrogenase, partial cds.	193351	2014-10-26	Drosophila transversa	839
AB932679	Drosophila tripunctata Adh gene for alcohol dehydrogenase, partial cds.	141217	2014-10-26	Drosophila tripunctata	836
AB932680	Drosophila unispina Adh gene for alcohol dehydrogenase, partial cds.	193352	2015-01-14	Drosophila unispina	848
AF260699	Drosophila buzzatii alcohol dehydrogenase-related protein gene, complete cds.	7264	2000-09-20	Drosophila buzzatii	2795
